,AAPL,MSFT,AMZN,JPM,JNJ,PG,XOM,NVDA
2002-01-02,0.3487473726272583,20.385120391845703,0.5479999780654907,18.232545852661133,30.29145622253418,20.689340591430664,17.977293014526367,0.5141631364822388
2002-01-03,0.35293832421302795,21.051034927368164,0.5950000286102295,18.719078063964844,30.281150817871094,20.49020767211914,18.004547119140625,0.5478549599647522
2002-01-04,0.35458531975746155,20.95069694519043,0.612500011920929,19.561731338500977,30.002498626708984,20.288482666015625,18.158899307250977,0.531888484954834
2002-01-07,0.34276098012924194,20.847309112548828,0.6169999837875366,19.511581420898438,29.8631591796875,20.055727005004883,18.000009536743164,0.5176012516021729
2002-01-08,0.33841994404792786,21.09664535522461,0.5924999713897705,19.36110496520996,29.66706657409668,20.11003875732422,18.02271270751953,0.5237134099006653
2002-01-09,0.3240508735179901,20.892911911010742,0.5764999985694885,19.41628074645996,29.367774963378906,19.965208053588867,17.813880920410156,0.5165322422981262
2002-01-10,0.3177643418312073,21.066240310668945,0.5519999861717224,19.631961822509766,30.074735641479492,19.8953914642334,17.881980895996094,0.5041555762290955
2002-01-11,0.3150704503059387,20.86251449584961,0.5515000224113464,19.230682373046875,30.048927307128906,19.967798233032227,17.477933883666992,0.4818463623523712
2002-01-14,0.3165675401687622,20.8199462890625,0.5055000185966492,18.714059829711914,30.404998779296875,20.3531436920166,17.54149055480957,0.45655885338783264
2002-01-15,0.32479941844940186,21.148330688476562,0.5145000219345093,18.994945526123047,30.53399085998535,20.59881591796875,17.841115951538086,0.49918922781944275
2002-01-16,0.31102877855300903,20.63749885559082,0.45649999380111694,18.31279754638672,30.745586395263672,20.655982971191406,17.477933883666992,0.47970765829086304
2002-01-17,0.33647459745407104,21.242599487304688,0.4869999885559082,18.483341217041016,30.874597549438477,20.707962036132812,17.54149055480957,0.49651503562927246
2002-01-18,0.3318343460559845,20.099285125732422,0.5080000162124634,18.0118465423584,30.807504653930664,20.739137649536133,17.432537078857422,0.4874241054058075
2002-01-22,0.3265955448150635,19.600603103637695,0.6299999952316284,17.93660545349121,30.508216857910156,20.63780975341797,17.26003646850586,0.47519972920417786
2002-01-23,0.34455639123916626,19.381675720214844,0.6234999895095825,17.931591033935547,30.332754135131836,20.424715042114258,17.659528732299805,0.4841387867927551
2002-01-24,0.34740036725997925,19.643171310424805,0.7005000114440918,18.006832122802734,29.950883865356445,20.211639404296875,17.6141357421875,0.5014811754226685
2002-01-25,0.3479996621608734,19.399906158447266,0.722000002861023,17.550384521484375,29.749624252319336,20.565038681030273,17.777555465698242,0.5001823902130127
2002-01-28,0.3482988476753235,19.405994415283203,0.7749999761581421,17.20931053161621,29.832197189331055,20.57023811340332,17.686765670776367,0.5194346904754639
2002-01-29,0.34530505537986755,18.949888229370117,0.7110000252723694,16.075735092163086,29.507089614868164,20.144062042236328,17.228260040283203,0.4939938187599182
2002-01-30,0.36057248711586,19.111040115356445,0.6949999928474426,16.58233642578125,29.517410278320312,20.344161987304688,17.56418800354004,0.49995288252830505
2002-01-31,0.37000226974487305,19.372543334960938,0.7095000147819519,17.078893661499023,29.67738914489746,21.22507095336914,17.72762107849121,0.5022450089454651
2002-02-01,0.3653620183467865,19.05326271057129,0.6865000128746033,16.13090705871582,29.723831176757812,21.456348419189453,17.704917907714844,0.48994532227516174
2002-02-04,0.37943193316459656,18.584997177124023,0.6265000104904175,15.328376770019531,29.05812644958496,21.490123748779297,17.40984535217285,0.4668726623058319
2002-02-05,0.3809279203414917,18.594114303588867,0.574999988079071,14.55593204498291,28.640155792236328,21.46933937072754,17.400766372680664,0.4622887372970581
2002-02-06,0.36925363540649414,18.366058349609375,0.5630000233650208,14.76660442352295,28.83625602722168,21.43815803527832,17.66860580444336,0.473824679851532
2002-02-07,0.3637157678604126,18.183624267578125,0.5619999766349792,15.082596778869629,29.151025772094727,21.34201431274414,17.49050521850586,0.45846855640411377
2002-02-08,0.3596741259098053,18.442079544067383,0.6259999871253967,15.609262466430664,29.352266311645508,21.331613540649414,17.48594093322754,0.44097352027893066
2002-02-11,0.3738930821418762,18.588037490844727,0.6650000214576721,15.970402717590332,29.440004348754883,21.232873916625977,17.58183479309082,0.4653444290161133
2002-02-12,0.3698521852493286,18.28700065612793,0.6449999809265137,15.794854164123535,29.569007873535156,21.711008071899414,17.536169052124023,0.47519972920417786
2002-02-13,0.3743423819541931,18.797849655151367,0.6644999980926514,15.172884941101074,29.9766902923584,21.75777816772461,17.645769119262695,0.4690886437892914
2002-02-14,0.3682059943675995,18.755271911621094,0.6940000057220459,15.152820587158203,29.660919189453125,21.83833122253418,17.810169219970703,0.47489458322525024
2002-02-15,0.3577286899089813,18.314367294311523,0.6704999804496765,15.0725736618042,29.629871368408203,22.085203170776367,17.764509201049805,0.43814700841903687
2002-02-19,0.3385699689388275,17.919071197509766,0.6504999995231628,14.560953140258789,29.4642276763916,21.82793617248535,17.705141067504883,0.4091152548789978
2002-02-20,0.34620335698127747,18.214025497436523,0.6480000019073486,14.751555442810059,30.085399627685547,22.087804794311523,17.80560302734375,0.4305066764354706
2002-02-21,0.3218061923980713,17.651493072509766,0.6629999876022339,14.616128921508789,30.023271560668945,21.59407615661621,17.878681182861328,0.40109336376190186
2002-02-22,0.34036561846733093,17.63324737548828,0.6535000205039978,14.139625549316406,30.747974395751953,22.243711471557617,18.59564971923828,0.38138261437416077
2002-02-25,0.3563816249370575,17.96468734741211,0.6865000128746033,14.545904159545898,30.90325927734375,22.703657150268555,18.7235164642334,0.4112541079521179
2002-02-26,0.35428622364997864,17.80352020263672,0.7200000286102295,14.525843620300293,31.063743591308594,22.477581024169922,18.59564971923828,0.4201926589012146
2002-02-27,0.3286910951137543,17.754878997802734,0.7135000228881836,14.525843620300293,31.177621841430664,22.217729568481445,18.68698501586914,0.4060596525669098
2002-02-28,0.32479941844940186,17.73967170715332,0.7049999833106995,14.671305656433105,31.52444076538086,22.033227920532227,18.860515594482422,0.3897095322608948
2002-03-01,0.35099276900291443,18.661020278930664,0.7695000171661377,14.876949310302734,32.145626068115234,22.750429153442383,19.180191040039062,0.42737483978271484
2002-03-04,0.3635657727718353,19.24787712097168,0.8240000009536743,16.30144500732422,32.05242156982422,22.602298736572266,19.477022171020508,0.451211154460907
2002-03-05,0.3521905839443207,19.18097686767578,0.7985000014305115,16.306461334228516,31.73666763305664,22.103376388549805,19.408533096313477,0.45006516575813293
