,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,V,PG,XOM,NVDA
2010-01-04,6.406480312347412,23.02750015258789,15.555866241455078,6.695000171661377,28.279212951660156,39.974815368652344,19.564666748046875,37.861087799072266,37.37726593017578,0.42378368973731995
2010-01-05,6.4175567626953125,23.034942626953125,15.487361907958984,6.734499931335449,28.82696533203125,39.51128005981445,19.34047508239746,37.87349319458008,37.52320861816406,0.4299720227718353
2010-01-06,6.315478324890137,22.893583297729492,15.096945762634277,6.612500190734863,28.9853572845459,39.8326530456543,19.08077049255371,37.69384765625,37.8475456237793,0.43272244930267334
2010-01-07,6.3038010597229,22.655494689941406,14.745494842529297,6.5,29.55953025817871,39.548362731933594,19.258352279663086,37.48942184448242,37.728614807128906,0.4242420494556427
2010-01-08,6.345710754394531,22.811738967895508,14.942070960998535,6.676000118255615,29.486923217773438,39.68434524536133,19.311616897583008,37.43986511230469,37.577266693115234,0.4251590073108673
2010-01-11,6.289733409881592,22.521577835083008,14.919485092163086,6.515500068664551,29.387916564941406,39.690521240234375,19.25613021850586,37.29119873046875,37.998878479003906,0.4191999137401581
2010-01-12,6.218185901641846,22.37276268005371,14.655648231506348,6.367499828338623,28.701568603515625,39.90064239501953,19.165117263793945,37.71861267089844,37.80971908569336,0.404989629983902
2010-01-13,6.3058953285217285,22.58109474182129,14.571508407592773,6.45550012588501,29.20315170288086,40.1540641784668,19.342693328857422,38.108882904052734,37.65834045410156,0.4104904234409332
2010-01-14,6.269376277923584,23.034942626953125,14.640010833740234,6.367499828338623,29.4935245513916,40.23439025878906,19.409286499023438,38.14604568481445,37.663761138916016,0.40407291054725647
2010-01-15,6.1646037101745605,22.960548400878906,14.39553451538086,6.35699987411499,28.82696533203125,39.90064239501953,19.120723724365234,37.675254821777344,37.35565185546875,0.39215463399887085
2010-01-19,6.437314510345459,23.139114379882812,14.584663391113281,6.380499839782715,28.5629825592041,40.38888931274414,19.50029945373535,38.23275375366211,37.4421501159668,0.39948901534080505
2010-01-20,6.338229656219482,22.759662628173828,14.40571117401123,6.289000034332275,28.642187118530273,40.265289306640625,19.404848098754883,37.71493148803711,36.77190017700195,0.3978846073150635
2010-01-21,6.228662490844727,22.328126907348633,14.469499588012695,6.330999851226807,26.754695892333984,39.5360107421875,18.745594024658203,37.334354400634766,36.0529899597168,0.3907795548439026
2010-01-22,5.919731140136719,21.546897888183594,13.6511869430542,6.071499824523926,25.843963623046875,39.060115814208984,18.363798141479492,37.62758255004883,35.728668212890625,0.37725701928138733
2010-01-25,6.0789875984191895,21.814743041992188,13.402739524841309,6.015500068664551,25.876953125,39.07247543334961,18.20841407775879,37.82722091674805,35.59355163574219,0.38367438316345215
2010-01-26,6.164903163909912,21.94866943359375,13.462804794311523,5.973999977111816,25.36878776550293,38.80672073364258,18.013076782226562,37.86466598510742,35.63137435913086,0.3715270459651947
2010-01-27,6.2229766845703125,22.07516098022461,13.454862594604492,6.137499809265137,25.956153869628906,39.20842742919922,18.625730514526367,37.93951416015625,35.42598342895508,0.3816116750240326
2010-01-28,5.965832233428955,21.695707321166992,13.261018753051758,6.301499843597412,26.055143356323242,39.43092346191406,18.346038818359375,38.48232650756836,35.11246871948242,0.36877673864364624
2010-01-29,5.7494001388549805,20.966564178466797,13.153051376342773,6.270500183105469,25.698768615722656,38.849979400634766,18.20841407775879,38.40122604370117,34.82598876953125,0.3527330458164215
2010-02-01,5.829326152801514,21.137685775756836,13.229496955871582,5.94350004196167,26.15414810180664,38.99213409423828,18.570234298706055,38.67573928833008,35.77192306518555,0.3797779977321625
2010-02-02,5.863152980804443,21.17488670349121,13.182339668273926,5.906000137329102,26.761293411254883,39.548362731933594,18.647920608520508,39.24349594116211,36.19353485107422,0.38367438316345215
2010-02-03,5.964034557342529,21.301374435424805,13.423091888427734,5.954999923706055,26.589702606201172,39.325870513916016,18.539154052734375,39.08751678466797,35.99893569946289,0.3868832290172577
2010-02-04,5.749100208282471,20.71359634399414,13.074621200561523,5.796999931335449,25.30937957763672,38.71400833129883,18.434829711914062,38.307640075683594,34.982765197753906,0.3644220232963562
2010-02-05,5.851178169250488,20.847517013549805,13.186559677124023,5.869500160217285,25.276390075683594,38.71400833129883,18.3260498046875,38.2452507019043,35.026004791259766,0.37175631523132324
2010-02-08,5.811063766479492,20.62430763244629,13.2406644821167,5.8414998054504395,24.88041877746582,38.547142028808594,18.434829711914062,38.064308166503906,35.009674072265625,0.3710685670375824
2010-02-09,5.8730316162109375,20.84007453918457,13.31438159942627,5.901500225067139,25.335783004760742,38.788177490234375,18.483661651611328,38.532230377197266,35.47212219238281,0.3680890202522278
2010-02-10,5.841000080108643,20.825197219848633,13.264989852905273,5.868000030517578,25.65256690979004,38.76963424682617,18.593708038330078,38.476097106933594,35.28168869018555,0.3751942217350006
2010-02-11,5.947269916534424,20.921920776367188,13.31338882446289,6.004499912261963,25.751564025878906,38.880882263183594,18.927162170410156,38.65701675415039,35.49387741088867,0.3923839330673218
2010-02-12,5.998461723327637,20.780561447143555,13.231978416442871,5.982999801635742,25.705366134643555,38.76345443725586,18.84713363647461,38.532230377197266,35.25448226928711,0.39765533804893494
2010-02-16,6.088864803314209,21.191686630249023,13.435005187988281,5.876500129699707,26.444522857666016,39.31351089477539,19.091670989990234,39.19981384277344,36.059688568115234,0.404989629983902
2010-02-17,6.063419818878174,21.37108039855957,13.358312606811523,5.815499782562256,26.42471694946289,39.54217529296875,19.211715698242188,39.212284088134766,35.77678680419922,0.40888601541519165
2010-02-18,6.074796676635742,21.655132293701172,13.482659339904785,5.9039998054504395,26.668909072875977,39.882110595703125,19.331756591796875,39.5491943359375,35.885589599609375,0.38207006454467773
2010-02-19,6.037077903747559,21.505638122558594,13.421602249145508,5.875999927520752,26.418128967285156,39.7388801574707,19.298410415649414,39.58664321899414,35.836631774902344,0.3800072968006134
2010-02-22,5.99965763092041,21.47573471069336,13.472237586975098,5.9004998207092285,26.959285736083984,39.539588928222656,19.32064437866211,39.56791687011719,35.5809326171875,0.3806948959827423
2010-02-23,5.899075031280518,21.176733016967773,13.280378341674805,5.861999988555908,26.31912612915039,39.427490234375,19.145029067993164,39.4369010925293,35.330657958984375,0.3715270459651947
2010-02-24,6.006842613220215,21.40098762512207,13.191024780273438,5.986000061035156,26.959285736083984,39.51467514038086,19.03609275817871,39.86114501953125,35.662540435791016,0.3793197274208069
2010-02-25,6.046955585479736,21.378562927246094,13.065933227539062,5.909999847412109,26.82069206237793,39.4088020324707,18.94717025756836,39.74262619018555,35.439476013183594,0.37588176131248474
2010-02-26,6.1253862380981445,21.43088722229004,13.075117111206055,5.920000076293945,27.69843864440918,39.23443603515625,18.958290100097656,39.4805793762207,35.363311767578125,0.3712978959083557
2010-03-01,6.256205081939697,21.6925106048584,13.221305847167969,6.2270002365112305,27.60605239868164,39.47731018066406,19.30063247680664,39.62406921386719,35.5809326171875,0.3861956000328064
2010-03-02,6.25201416015625,21.273908615112305,13.429048538208008,6.276500225067139,27.46745491027832,39.508453369140625,19.21837615966797,39.74885177612305,35.6298942565918,0.38596633076667786
2010-03-03,6.266382217407227,21.273908615112305,13.534783363342285,6.29449987411499,27.40806007385254,39.48353576660156,19.296192169189453,39.6490364074707,35.59725570678711,0.3811533749103546
2010-03-04,6.307693004608154,21.40098762512207,13.764861106872559,6.426499843597412,27.66545867919922,39.58940124511719,19.34955596923828,39.72389602661133,35.5809326171875,0.38184094429016113
2010-03-05,6.554363250732422,21.37108039855957,14.00362777709961,6.445499897003174,28.252803802490234,39.882118225097656,19.67633628845215,39.73636245727539,36.163063049316406,0.39352986216545105
2010-03-08,6.558252334594727,21.40098762512207,13.960691452026367,6.505499839782715,28.10760498046875,39.98174285888672,20.14762306213379,39.42441940307617,36.16849899291992,0.3877999782562256
2010-03-09,6.6761980056762695,21.52804946899414,13.903853416442871,6.440999984741211,27.995418548583984,40.02534484863281,20.04092025756836,39.493064880371094,36.331722259521484,0.4022393524646759
2010-03-10,6.730679035186768,21.655132293701172,14.307425498962402,6.5254998207092285,28.332000732421875,40.037803649902344,20.345470428466797,39.312110900878906,36.571102142333984,0.40315601229667664
2010-03-11,6.750438690185547,21.812108993530273,14.423830032348633,6.678999900817871,28.496980667114258,39.994197845458984,20.616689682006836,39.41194152832031,36.571102142333984,0.3939882814884186
2010-03-12,6.783368110656738,21.87938117980957,14.384119033813477,6.591000080108643,28.477197647094727,39.96929168701172,20.730072021484375,39.50552749633789,36.342586517333984,0.39536359906196594
2010-03-15,6.700745105743408,21.894336700439453,13.978065490722656,6.55649995803833,28.42439842224121,40.21217346191406,20.54332733154297,39.74262619018555,36.07057189941406,0.3933006823062897
2010-03-16,6.719006538391113,21.954130172729492,14.028200149536133,6.5894999504089355,28.536590576171875,40.18727111816406,20.37437629699707,39.636539459228516,36.21746826171875,0.4070524275302887
2010-03-17,6.709127426147461,22.148479461669922,14.037137031555176,6.566999912261963,28.899568557739258,40.26200485229492,20.343259811401367,39.93601989746094,36.64726638793945,0.4148450791835785
2010-03-18,6.724993705749512,22.133535385131836,14.057985305786133,6.638000011444092,28.800579071044922,40.51732635498047,20.036470413208008,39.761322021484375,36.66360092163086,0.4001765847206116
